Time,DistrictCode,TypeCode,Popularity
2017-12-12-20,1,1,29
2017-12-12-21,1,1,14
2017-12-12-22,1,1,14
2017-12-12-23,1,1,13
2017-12-13-00,1,1,14
2017-12-13-01,1,1,11
2017-12-13-02,1,1,12
2017-12-13-03,1,1,12
2017-12-13-04,1,1,10
2017-12-13-05,1,1,14
2017-12-13-06,1,1,14
2017-12-13-07,1,1,23
2017-12-13-08,1,1,33
2017-12-13-09,1,1,21
2017-12-13-10,1,1,22
2017-12-13-11,1,1,19
2017-12-13-12,1,1,18
2017-12-13-13,1,1,7
2017-12-13-14,1,1,7
2017-12-13-15,1,1,3
2017-12-13-16,1,1,7
2017-12-13-17,1,1,9
2017-12-13-18,1,1,12
2017-12-13-19,1,1,22
2017-12-13-20,1,1,25
2017-12-13-21,1,1,18
2017-12-13-22,1,1,14
2017-12-13-23,1,1,16
2017-12-14-00,1,1,17
2017-12-14-01,1,1,11
2017-12-14-02,1,1,11
2017-12-14-03,1,1,16
2017-12-14-04,1,1,14
2017-12-14-05,1,1,17
2017-12-14-06,1,1,19
2017-12-14-07,1,1,18
2017-12-14-08,1,1,23
2017-12-14-09,1,1,23
2017-12-14-10,1,1,29
2017-12-14-11,1,1,23
2017-12-14-12,1,1,24
2017-12-14-13,1,1,21
2017-12-14-14,1,1,14
2017-12-14-15,1,1,11
2017-12-14-16,1,1,4
2017-12-14-17,1,1,9
2017-12-14-18,1,1,17
2017-12-14-19,1,1,34
2017-12-14-20,1,1,36
2017-12-14-21,1,1,20
2017-12-14-22,1,1,12
2017-12-14-23,1,1,11
2017-12-15-00,1,1,13
2017-12-15-01,1,1,10
2017-12-15-02,1,1,11
2017-12-15-03,1,1,11
2017-12-15-04,1,1,8
2017-12-15-05,1,1,14
2017-12-15-06,1,1,14
2017-12-15-07,1,1,14
2017-12-15-08,1,1,12
2017-12-15-09,1,1,17
2017-12-15-10,1,1,20
2017-12-15-11,1,1,20
2017-12-15-12,1,1,15
2017-12-15-13,1,1,12
2017-12-15-14,1,1,9
2017-12-15-15,1,1,6
2017-12-15-16,1,1,4
2017-12-15-17,1,1,7
2017-12-15-18,1,1,14
2017-12-15-19,1,1,25
2017-12-15-20,1,1,25
2017-12-15-21,1,1,20
2017-12-15-22,1,1,18
2017-12-15-23,1,1,19
2017-12-16-00,1,1,19
2017-12-16-01,1,1,18
2017-12-16-02,1,1,19
2017-12-16-03,1,1,41
2017-12-16-04,1,1,37
2017-12-16-05,1,1,36
2017-12-16-06,1,1,39
2017-12-16-07,1,1,33
2017-12-16-08,1,1,31
2017-12-16-09,1,1,26
2017-12-16-10,1,1,25
2017-12-16-11,1,1,19
2017-12-16-12,1,1,20
2017-12-16-13,1,1,19
2017-12-16-14,1,1,10
2017-12-16-15,1,1,8
2017-12-16-16,1,1,6
2017-12-16-17,1,1,5
2017-12-16-18,1,1,9
2017-12-16-19,1,1,13
2017-12-16-20,1,1,15
2017-12-16-21,1,1,14
2017-12-16-22,1,1,15
2017-12-16-23,1,1,17
2017-12-17-00,1,1,20
2017-12-17-01,1,1,17
2017-12-17-02,1,1,17
2017-12-17-03,1,1,17
2017-12-17-04,1,1,17
2017-12-17-05,1,1,14
2017-12-17-06,1,1,15
2017-12-17-07,1,1,17
2017-12-17-08,1,1,15
2017-12-17-09,1,1,20
2017-12-17-10,1,1,14
2017-12-17-11,1,1,13
2017-12-17-12,1,1,13
2017-12-17-13,1,1,13
2017-12-17-14,1,1,7
2017-12-17-15,1,1,8
2017-12-17-16,1,1,3
2017-12-17-17,1,1,3
2017-12-17-18,1,1,4
2017-12-17-19,1,1,7
2017-12-17-20,1,1,15
2017-12-17-21,1,1,14
2017-12-17-22,1,1,15
2017-12-17-23,1,1,19
2017-12-18-00,1,1,17
2017-12-18-01,1,1,16
2017-12-18-02,1,1,12
2017-12-18-03,1,1,14
2017-12-18-04,1,1,11
2017-12-18-05,1,1,11
2017-12-18-06,1,1,14
2017-12-18-07,1,1,15
2017-12-18-08,1,1,19
2017-12-18-09,1,1,16
2017-12-18-10,1,1,18
2017-12-18-11,1,1,21
2017-12-18-12,1,1,18
2017-12-18-13,1,1,12
2017-12-18-14,1,1,6
2017-12-18-15,1,1,9
2017-12-18-16,1,1,8
2017-12-18-17,1,1,8
2017-12-18-18,1,1,15
2017-12-18-19,1,1,26
2017-12-18-20,1,1,26
2017-12-18-21,1,1,19
2017-12-18-22,1,1,11
2017-12-18-23,1,1,10
2017-12-19-00,1,1,14
2017-12-19-01,1,1,13
2017-12-19-02,1,1,12
2017-12-19-03,1,1,13
2017-12-19-04,1,1,10
2017-12-19-05,1,1,11
2017-12-19-06,1,1,12
2017-12-19-07,1,1,14
2017-12-19-08,1,1,13
2017-12-19-09,1,1,14
2017-12-19-10,1,1,16
2017-12-19-11,1,1,15
2017-12-19-12,1,1,11
2017-12-19-13,1,1,10
2017-12-19-14,1,1,5
2017-12-19-15,1,1,5
2017-12-19-16,1,1,4
2017-12-19-17,1,1,5
2017-12-19-18,1,1,11
2017-12-19-19,1,1,21
2017-12-19-20,1,1,27
2017-12-19-21,1,1,15
2017-12-19-22,1,1,13
2017-12-19-23,1,1,10
2017-12-20-00,1,1,14
2017-12-20-01,1,1,11
2017-12-20-02,1,1,13
2017-12-20-03,1,1,13
2017-12-20-04,1,1,12
2017-12-20-05,1,1,13
2017-12-20-06,1,1,12
2017-12-20-07,1,1,18
2017-12-20-08,1,1,19
2017-12-20-09,1,1,18
2017-12-20-10,1,1,16
2017-12-20-11,1,1,18
2017-12-20-12,1,1,13
2017-12-20-13,1,1,13
2017-12-20-14,1,1,6
2017-12-20-15,1,1,1
2017-12-20-16,1,1,5
2017-12-20-17,1,1,7
2017-12-20-18,1,1,16
2017-12-20-19,1,1,25
2017-12-20-20,1,1,27
2017-12-20-21,1,1,19
2017-12-20-22,1,1,16
2017-12-20-23,1,1,14
2017-12-21-00,1,1,11
2017-12-21-01,1,1,14
2017-12-21-02,1,1,12
2017-12-21-03,1,1,13
2017-12-21-04,1,1,15
2017-12-21-05,1,1,13
2017-12-21-06,1,1,14
2017-12-21-07,1,1,18
2017-12-21-08,1,1,17
2017-12-21-09,1,1,15
2017-12-21-10,1,1,16
2017-12-21-11,1,1,15
2017-12-21-12,1,1,19
2017-12-21-13,1,1,10
2017-12-21-14,1,1,5
2017-12-21-15,1,1,5
2017-12-21-16,1,1,4
2017-12-21-17,1,1,8
2017-12-21-18,1,1,14
2017-12-21-19,1,1,20
2017-12-21-20,1,1,26
2017-12-21-21,1,1,14
2017-12-21-22,1,1,13
2017-12-21-23,1,1,14
2017-12-22-00,1,1,10
2017-12-22-01,1,1,11
2017-12-22-02,1,1,9
2017-12-22-03,1,1,14
2017-12-22-04,1,1,12
2017-12-22-05,1,1,15
2017-12-22-06,1,1,16
2017-12-22-07,1,1,16
2017-12-22-08,1,1,18
2017-12-22-09,1,1,23
2018-01-12-06,1,1,13
2018-01-12-07,1,1,13
2018-01-12-08,1,1,12
2018-01-12-09,1,1,15
2018-01-12-10,1,1,21
2018-01-12-11,1,1,29
2018-01-12-12,1,1,18
2018-01-12-13,1,1,16
2018-01-12-14,1,1,10
2018-01-12-15,1,1,10
2018-01-12-16,1,1,5
2018-01-12-17,1,1,11
2018-01-12-18,1,1,20
2018-01-12-19,1,1,32
2018-01-12-20,1,1,36
2018-01-12-21,1,1,22
2018-01-12-22,1,1,22
2018-01-12-23,1,1,24
2018-01-13-00,1,1,25
2018-01-13-01,1,1,17
2018-01-13-02,1,1,21
2018-01-13-03,1,1,25
2018-01-13-04,1,1,28
2018-01-13-05,1,1,24
2018-01-13-06,1,1,24
2018-01-13-07,1,1,24
2018-01-13-08,1,1,29
2018-01-13-09,1,1,27
2018-01-13-10,1,1,28
2018-01-13-11,1,1,30
2018-01-13-12,1,1,23
2018-01-13-13,1,1,21
2018-01-13-14,1,1,11
2018-01-13-15,1,1,11
2018-01-13-16,1,1,8
2018-01-13-17,1,1,9
2018-01-13-18,1,1,11
2018-01-13-19,1,1,13
2018-01-13-20,1,1,27
2018-01-13-21,1,1,26
2018-01-13-22,1,1,29
2018-01-13-23,1,1,22
2018-01-14-00,1,1,23
